year,asian,black,hispanic,total,two+,white,asian_pct,black_pct,hispanic_pct,two+_pct,white_pct
2010,405,981,478,8754,248,6992,4.6,11.2,5.5,2.8,79.9
2020,575,949,739,9352,936,6683,6.1,10.1,7.9,10.0,71.5
