year,asian,black,hispanic,total,two+,white,asian_pct,black_pct,hispanic_pct,two+_pct,white_pct
2010,2536,11676,3656,52669,1882,35367,4.8,22.2,6.9,3.6,67.1
2020,3017,10897,5294,55532,5796,34050,5.4,19.6,9.5,10.4,61.3
