year,asian,black,hispanic,total,two+,white,asian_pct,black_pct,hispanic_pct,two+_pct,white_pct
2010,830,3570,1036,14209,486,8971,5.8,25.1,7.3,3.4,63.1
2020,878,3366,1483,14891,1462,8624,5.9,22.6,10.0,9.8,57.9
