year,asian,black,hispanic,total,two+,white,asian_pct,black_pct,hispanic_pct,two+_pct,white_pct
2010,23,140,71,1091,32,861,2.1,12.8,6.5,2.9,78.9
2020,38,121,88,1126,125,824,3.4,10.7,7.8,11.1,73.2
